origin_as,prefix_count,cv_mean_within_as,as_prefix_cv_stddev,as_prefix_cv_range,total_updates
24319,29,0.3922372131895382,0.25831265915063145,0.9296085323942964,51580
24323,54,0.5320913105425159,0.1494897871386883,0.9711817934606916,66116
24324,3,0.5056858235698295,0.4133908539087282,0.7989299201831809,1721
24342,6,0.24315909022872254,0.19736274030994921,0.4645446476227543,5420
24363,3,0.6663060553967479,0.4886956226842809,0.8464456479256841,1832
24367,4,0.1378240650150473,0.13074735652616185,0.25575336188361186,225430
24373,3,0.05585984863424462,0.032178552630504974,0.05573488807006376,1625
24378,6,0.23804503536592472,0.27631438368302313,0.5486508003647166,2138
24389,38,0.23325498620454535,0.24318805347014105,0.7925761989645773,31024
24391,6,0.6687970460095953,0.19029949372276428,0.4341286371435561,10708
24400,8,0.15109651639517432,0.17468266978446276,0.5240554750742449,4590
24409,8,0.062012333765732744,0.004876908584923545,0.01385937284428606,2639
24423,18,0.0806639763300299,0.024205069438740182,0.09021184420964984,7718
24429,66,0.3875815332880074,0.3430186043263459,1.097837568412835,882036
24432,20,0.2985541998428952,0.3021467953150272,0.8916881989401851,63027
24435,8,0.4768184048481695,0.5121997433239234,1.0957318489080272,11120
24439,3,0.2794855266924954,0.18985519728550118,0.378090223814065,2295
24441,32,0.1447965328183464,0.14299364413979238,0.8373370234718613,9602
24444,78,0.07427993594234737,0.02956464132309523,0.1907944577842518,29666
24445,49,0.06547033216374787,0.020261245088664472,0.097409979170622,17886
24453,8,0.42481082213295024,0.0,0.0,17352
24462,5,0.30263857315313747,0.1827470009181304,0.3824307161092658,2304
24471,3,0.8915981370471543,0.19483616845294868,0.338211803950375,6853
24492,10,0.2716088721150838,0.16789156053259718,0.6296104107105401,9110
24499,20,0.5856848721908481,0.2826225009574801,1.1668527976749623,17181
24504,5,0.49327975906611066,0.12142966091010647,0.2806505111598729,6103
24514,26,0.11316719446625424,0.27993685766844156,1.1026766616764132,17365
24521,20,0.42653307986413563,0.28842003714199344,0.9437357898291137,16817
24523,45,0.19553672342017198,0.19354866873948598,0.4857666025815088,18616
24527,4,0.19664185589246963,0.2031505029330592,0.45089586515714863,1116
24529,3,0.20563341960625306,0.0,0.0,3186
24530,3,0.5660558479522747,0.1177372892127822,0.23404674673773895,2447
24532,9,0.5294321659598877,0.44329456666576467,1.0590369497400678,19883
24534,4,0.25687034719878793,0.36360875087061495,0.7709922882239656,2749
24535,34,0.5842104123175611,0.41553139316068505,0.8318044757026548,29012
24537,6,0.5263410565185372,0.21128600741603318,0.4409452766112203,23812
24544,29,0.6640507986514805,0.14972966607253807,0.6412412354048747,158463
24547,264,0.07274151801660396,0.02216824139429266,0.09100818367161961,107017
24550,25,0.4697071685028307,0.15265307762303187,0.8743661781895122,67602
24560,71,0.30137941291917264,0.3226356019503524,1.478850331964822,96227
24631,40,0.5081396516920231,0.2544150639017447,0.9761465211366251,64604
24634,12,0.6931492524918942,0.18365234736213493,0.6478107507996176,37635
24685,6,0.2735299664855575,0.08442242485735311,0.2040915678582281,3301
24691,4,0.2742832557076239,0.22787037950170005,0.41157735100221593,4344
2470,14,0.16427507391192658,0.0029976008998110447,0.0058369891463260215,3788
2472,13,0.23071265547798842,0.2265239114869334,0.6531989515283853,8319117
24722,74,0.45601740570890664,0.12550656271253824,0.7383455432051114,61285
24723,3,0.808787339183735,0.0,0.0,2733
24757,331,0.5824623859202849,0.26300180930768297,1.4384104614048565,752717
24758,11,0.6667366029299556,0.17482672417409356,0.5796346786337478,57313
24796,3,0.10006054286641615,0.03496163682986963,0.06274160209314103,1068
24806,4,0.8790179414119772,0.35058987319250523,0.7011797463850105,4121
